id,rating_value,created_at
1,9.0,2025-10-17 17:59:15.791218
2,2.5,2025-10-17 17:59:15.791218
3,6.5,2025-10-17 17:59:15.791218
4,9.2,2025-10-17 17:59:15.791218
5,1.9,2025-10-17 17:59:15.791218
6,2.9,2025-10-17 17:59:15.791218
7,8.6,2025-10-17 17:59:15.791218
8,5.8,2025-10-17 17:59:15.791218
9,4.1,2025-10-17 17:59:15.791218
10,9.7,2025-10-17 17:59:15.791218
11,1.9,2025-10-17 17:59:15.791218
12,2.4,2025-10-17 17:59:15.791218
13,2.5,2025-10-17 17:59:15.791218
14,7.3,2025-10-17 17:59:15.791218
15,1.8,2025-10-17 17:59:15.791218
16,6.2,2025-10-17 17:59:15.791218
17,9.2,2025-10-17 17:59:15.791218
18,2.7,2025-10-17 17:59:15.791218
19,1.8,2025-10-17 17:59:15.791218
20,4.8,2025-10-17 17:59:15.791218
21,9.6,2025-10-17 17:59:15.791218
22,7.9,2025-10-17 17:59:15.791218
23,5.1,2025-10-17 17:59:15.791218
24,7.9,2025-10-17 17:59:15.791218
25,2.9,2025-10-17 17:59:15.791218
26,5.2,2025-10-17 17:59:15.791218
27,3.4,2025-10-17 17:59:15.791218
28,1.2,2025-10-17 17:59:15.791218
29,5.6,2025-10-17 17:59:15.791218
30,7.8,2025-10-17 17:59:15.791218
31,5.0,2025-10-17 17:59:15.791218
32,7.2,2025-10-17 17:59:15.791218
33,3.8,2025-10-17 17:59:15.791218
34,5.0,2025-10-17 17:59:15.791218
35,1.2,2025-10-17 17:59:15.791218
36,3.8,2025-10-17 17:59:15.791218
37,7.5,2025-10-17 17:59:15.791218
38,1.1,2025-10-17 17:59:15.791218
39,6.4,2025-10-17 17:59:15.791218
40,8.6,2025-10-17 17:59:15.791218
41,3.7,2025-10-17 17:59:15.791218
42,4.8,2025-10-17 17:59:15.791218
43,4.7,2025-10-17 17:59:15.791218
44,7.5,2025-10-17 17:59:15.791218
45,6.0,2025-10-17 17:59:15.791218
46,3.9,2025-10-17 17:59:15.791218
47,2.0,2025-10-17 17:59:15.791218
48,4.7,2025-10-17 17:59:15.791218
49,5.8,2025-10-17 17:59:15.791218
50,7.4,2025-10-17 17:59:15.791218
51,4.2,2025-10-17 17:59:15.791218
52,2.1,2025-10-17 17:59:15.791218
53,7.3,2025-10-17 17:59:15.791218
54,8.9,2025-10-17 17:59:15.791218
55,1.7,2025-10-17 17:59:15.791218
56,1.8,2025-10-17 17:59:15.791218
57,3.0,2025-10-17 17:59:15.791218
58,3.4,2025-10-17 17:59:15.791218
59,1.7,2025-10-17 17:59:15.791218
60,8.5,2025-10-17 17:59:15.791218
61,5.0,2025-10-17 17:59:15.791218
62,5.2,2025-10-17 17:59:15.791218
63,2.9,2025-10-17 17:59:15.791218
64,3.7,2025-10-17 17:59:15.791218
65,8.8,2025-10-17 17:59:15.791218
66,9.4,2025-10-17 17:59:15.791218
67,9.0,2025-10-17 17:59:15.791218
68,7.6,2025-10-17 17:59:15.791218
69,4.1,2025-10-17 17:59:15.791218
70,5.1,2025-10-17 17:59:15.791218
71,6.7,2025-10-17 17:59:15.791218
72,9.4,2025-10-17 17:59:15.791218
73,6.4,2025-10-17 17:59:15.791218
74,6.1,2025-10-17 17:59:15.791218
75,3.9,2025-10-17 17:59:15.791218
76,7.0,2025-10-17 17:59:15.791218
77,4.2,2025-10-17 17:59:15.791218
78,1.1,2025-10-17 17:59:15.791218
79,8.2,2025-10-17 17:59:15.791218
80,2.8,2025-10-17 17:59:15.791218
81,3.2,2025-10-17 17:59:15.791218
82,9.9,2025-10-17 17:59:15.791218
83,3.5,2025-10-17 17:59:15.791218
84,4.5,2025-10-17 17:59:15.791218
85,4.4,2025-10-17 17:59:15.791218
86,5.6,2025-10-17 17:59:15.791218
87,9.2,2025-10-17 17:59:15.791218
88,1.1,2025-10-17 17:59:15.791218
89,5.7,2025-10-17 17:59:15.791218
90,4.6,2025-10-17 17:59:15.791218
91,4.6,2025-10-17 17:59:15.791218
92,2.2,2025-10-17 17:59:15.791218
93,7.2,2025-10-17 17:59:15.791218
94,7.4,2025-10-17 17:59:15.791218
95,5.1,2025-10-17 17:59:15.791218
96,4.0,2025-10-17 17:59:15.791218
97,2.8,2025-10-17 17:59:15.791218
98,1.9,2025-10-17 17:59:15.791218
99,9.7,2025-10-17 17:59:15.791218
100,9.1,2025-10-17 17:59:15.791218
101,8.1,2025-10-17 17:59:15.791218
102,5.3,2025-10-17 17:59:15.791218
103,1.3,2025-10-17 17:59:15.791218
104,3.2,2025-10-17 17:59:15.791218
