person_name,roles_count,avg_rating,avg_popularity
Samuel L. Jackson,67,6.44,35.72
Robert De Niro,57,6.45,27.18
Bruce Willis,51,6.25,36.99
Matt Damon,48,6.63,48.42
Morgan Freeman,46,6.58,46.62
Steve Buscemi,43,6.25,29.50
Liam Neeson,41,6.36,45.26
Johnny Depp,40,6.41,50.98
Owen Wilson,40,5.99,31.50
Alec Baldwin,39,6.32,26.49
John Goodman,39,6.27,32.37
Nicolas Cage,39,6.03,27.98
Brad Pitt,38,6.74,45.60
Willem Dafoe,38,6.50,31.63
Jim Broadbent,38,6.49,26.18
Stanley Tucci,38,6.32,39.13
Paul Giamatti,37,6.56,30.20
Will Ferrell,37,5.97,19.72
Richard Jenkins,36,6.12,22.50
Susan Sarandon,36,6.09,16.01
