ID,Rating Value,Created At
107561,5.9,2025-10-17 18:02:48
109933,9.4,2025-10-17 18:02:48
109932,1.3,2025-10-17 18:02:48
109931,8.3,2025-10-17 18:02:48
109930,5.3,2025-10-17 18:02:48
109929,9.4,2025-10-17 18:02:48
109928,3.4,2025-10-17 18:02:48
109927,5.5,2025-10-17 18:02:48
109926,8.6,2025-10-17 18:02:48
109925,3.4,2025-10-17 18:02:48
109924,1.3,2025-10-17 18:02:48
109923,4.6,2025-10-17 18:02:48
109922,5.8,2025-10-17 18:02:48
109921,1.4,2025-10-17 18:02:48
109920,1.1,2025-10-17 18:02:48
109919,6.5,2025-10-17 18:02:48
109918,3.7,2025-10-17 18:02:48
109917,6.5,2025-10-17 18:02:48
109916,3.1,2025-10-17 18:02:48
109915,4.7,2025-10-17 18:02:48
109914,5.2,2025-10-17 18:02:48
109913,3.6,2025-10-17 18:02:48
109912,7.9,2025-10-17 18:02:48
109911,2.3,2025-10-17 18:02:48
109910,4.4,2025-10-17 18:02:48
109909,4.4,2025-10-17 18:02:48
109908,1.1,2025-10-17 18:02:48
109907,2.3,2025-10-17 18:02:48
109906,7.8,2025-10-17 18:02:48
109905,7.9,2025-10-17 18:02:48
109904,1.7,2025-10-17 18:02:48
109903,9.6,2025-10-17 18:02:48
109902,8.6,2025-10-17 18:02:48
109901,9.4,2025-10-17 18:02:48
109900,3.9,2025-10-17 18:02:48
109899,8.2,2025-10-17 18:02:48
109898,8.5,2025-10-17 18:02:48
109897,1.3,2025-10-17 18:02:48
109896,6.1,2025-10-17 18:02:48
109895,6.5,2025-10-17 18:02:48
109894,6.8,2025-10-17 18:02:48
109893,2.4,2025-10-17 18:02:48
109892,8.4,2025-10-17 18:02:48
109891,3.2,2025-10-17 18:02:48
109890,3.4,2025-10-17 18:02:48
109889,3.2,2025-10-17 18:02:48
109888,4.6,2025-10-17 18:02:48
109887,7.9,2025-10-17 18:02:48
109886,1.9,2025-10-17 18:02:48
109885,9.4,2025-10-17 18:02:48
109884,3.5,2025-10-17 18:02:48
109883,8.0,2025-10-17 18:02:48
109882,3.9,2025-10-17 18:02:48
109881,3.1,2025-10-17 18:02:48
109880,6.6,2025-10-17 18:02:48
109879,5.6,2025-10-17 18:02:48
109878,2.1,2025-10-17 18:02:48
109877,7.8,2025-10-17 18:02:48
109876,4.6,2025-10-17 18:02:48
109875,7.7,2025-10-17 18:02:48
109874,1.1,2025-10-17 18:02:48
109873,5.7,2025-10-17 18:02:48
109872,4.1,2025-10-17 18:02:48
109871,8.6,2025-10-17 18:02:48
109870,2.3,2025-10-17 18:02:48
109869,9.5,2025-10-17 18:02:48
109868,9.5,2025-10-17 18:02:48
109867,3.5,2025-10-17 18:02:48
109866,9.0,2025-10-17 18:02:48
109865,9.6,2025-10-17 18:02:48
109864,8.5,2025-10-17 18:02:48
109863,3.1,2025-10-17 18:02:48
109862,6.8,2025-10-17 18:02:48
109861,2.8,2025-10-17 18:02:48
109860,8.5,2025-10-17 18:02:48
109859,6.3,2025-10-17 18:02:48
109858,8.7,2025-10-17 18:02:48
109857,5.6,2025-10-17 18:02:48
109856,5.1,2025-10-17 18:02:48
109855,6.3,2025-10-17 18:02:48
109854,6.7,2025-10-17 18:02:48
109853,9.7,2025-10-17 18:02:48
109852,7.0,2025-10-17 18:02:48
109851,2.8,2025-10-17 18:02:48
109850,7.8,2025-10-17 18:02:48
109849,4.1,2025-10-17 18:02:48
109848,6.8,2025-10-17 18:02:48
109847,9.1,2025-10-17 18:02:48
109846,5.1,2025-10-17 18:02:48
109845,8.8,2025-10-17 18:02:48
109844,8.1,2025-10-17 18:02:48
109843,4.3,2025-10-17 18:02:48
109842,5.4,2025-10-17 18:02:48
109841,7.9,2025-10-17 18:02:48
109840,8.0,2025-10-17 18:02:48
109839,3.8,2025-10-17 18:02:48
109838,7.6,2025-10-17 18:02:48
109837,1.2,2025-10-17 18:02:48
109836,3.6,2025-10-17 18:02:48
109835,5.2,2025-10-17 18:02:48
109834,5.5,2025-10-17 18:02:48
109833,9.1,2025-10-17 18:02:48
109832,4.3,2025-10-17 18:02:48
109831,6.9,2025-10-17 18:02:48
109830,8.5,2025-10-17 18:02:48
109829,2.0,2025-10-17 18:02:48
109828,7.8,2025-10-17 18:02:48
109827,5.2,2025-10-17 18:02:48
109826,6.6,2025-10-17 18:02:48
109825,4.9,2025-10-17 18:02:48
109824,3.1,2025-10-17 18:02:48
109823,2.6,2025-10-17 18:02:48
109822,4.3,2025-10-17 18:02:48
109821,2.6,2025-10-17 18:02:48
109820,6.3,2025-10-17 18:02:48
109819,3.9,2025-10-17 18:02:48
109818,2.7,2025-10-17 18:02:48
109817,7.6,2025-10-17 18:02:48
109816,2.8,2025-10-17 18:02:48
109815,6.8,2025-10-17 18:02:48
109814,9.8,2025-10-17 18:02:48
109813,5.8,2025-10-17 18:02:48
109812,1.6,2025-10-17 18:02:48
109811,9.0,2025-10-17 18:02:48
109810,4.9,2025-10-17 18:02:48
109809,8.5,2025-10-17 18:02:48
109808,1.1,2025-10-17 18:02:48
109807,2.1,2025-10-17 18:02:48
109806,8.8,2025-10-17 18:02:48
109805,5.9,2025-10-17 18:02:48
109804,6.3,2025-10-17 18:02:48
109803,5.0,2025-10-17 18:02:48
109802,6.4,2025-10-17 18:02:48
109801,5.8,2025-10-17 18:02:48
109800,8.9,2025-10-17 18:02:48
109799,8.3,2025-10-17 18:02:48
109798,3.4,2025-10-17 18:02:48
109797,5.6,2025-10-17 18:02:48
109796,1.8,2025-10-17 18:02:48
109795,7.9,2025-10-17 18:02:48
109794,1.2,2025-10-17 18:02:48
109793,6.6,2025-10-17 18:02:48
109792,9.5,2025-10-17 18:02:48
109791,4.3,2025-10-17 18:02:48
109790,3.0,2025-10-17 18:02:48
109789,9.8,2025-10-17 18:02:48
109788,2.9,2025-10-17 18:02:48
109787,9.8,2025-10-17 18:02:48
109786,8.6,2025-10-17 18:02:48
109785,1.7,2025-10-17 18:02:48
109784,4.1,2025-10-17 18:02:48
109783,3.8,2025-10-17 18:02:48
109782,4.1,2025-10-17 18:02:48
109781,4.8,2025-10-17 18:02:48
109780,9.6,2025-10-17 18:02:48
109779,4.4,2025-10-17 18:02:48
109778,4.7,2025-10-17 18:02:48
109777,1.1,2025-10-17 18:02:48
109776,2.8,2025-10-17 18:02:48
109775,6.2,2025-10-17 18:02:48
109774,3.9,2025-10-17 18:02:48
109773,6.8,2025-10-17 18:02:48
109772,3.0,2025-10-17 18:02:48
109771,8.4,2025-10-17 18:02:48
109770,2.2,2025-10-17 18:02:48
109769,9.4,2025-10-17 18:02:48
109768,6.9,2025-10-17 18:02:48
109767,5.8,2025-10-17 18:02:48
109766,8.1,2025-10-17 18:02:48
109765,4.3,2025-10-17 18:02:48
109764,8.0,2025-10-17 18:02:48
109763,2.5,2025-10-17 18:02:48
109762,4.2,2025-10-17 18:02:48
109761,8.6,2025-10-17 18:02:48
109760,5.9,2025-10-17 18:02:48
109759,2.5,2025-10-17 18:02:48
109758,9.7,2025-10-17 18:02:48
109757,6.8,2025-10-17 18:02:48
109756,2.3,2025-10-17 18:02:48
109755,9.3,2025-10-17 18:02:48
109754,5.5,2025-10-17 18:02:48
109753,3.0,2025-10-17 18:02:48
109752,1.5,2025-10-17 18:02:48
109751,5.1,2025-10-17 18:02:48
109750,8.1,2025-10-17 18:02:48
109749,8.1,2025-10-17 18:02:48
109748,8.8,2025-10-17 18:02:48
109747,1.1,2025-10-17 18:02:48
109746,6.8,2025-10-17 18:02:48
109745,7.6,2025-10-17 18:02:48
109744,6.7,2025-10-17 18:02:48
109743,4.0,2025-10-17 18:02:48
109742,9.4,2025-10-17 18:02:48
109741,5.8,2025-10-17 18:02:48
109740,6.3,2025-10-17 18:02:48
109739,9.6,2025-10-17 18:02:48
109738,6.0,2025-10-17 18:02:48
109737,3.9,2025-10-17 18:02:48
109736,4.8,2025-10-17 18:02:48
109735,7.9,2025-10-17 18:02:48
109734,5.4,2025-10-17 18:02:48
109733,5.4,2025-10-17 18:02:48
109732,3.2,2025-10-17 18:02:48
109731,7.1,2025-10-17 18:02:48
109730,6.5,2025-10-17 18:02:48
109729,8.1,2025-10-17 18:02:48
109728,1.7,2025-10-17 18:02:48
109727,3.4,2025-10-17 18:02:48
109726,2.5,2025-10-17 18:02:48
109725,3.9,2025-10-17 18:02:48
