director_name,directed_movies,avg_rating,avg_revenue,avg_budget,total_box_office
Hayao Miyazaki,4,8.12,221409725,24571283,2656916705
Billy Wilder,3,7.95,22666667,2669616,136000000
Sergio Leone,3,7.93,8607169,2133333,25821508
Christopher Nolan,8,7.82,606788507,139296296,16383289677
Pete Docter,3,7.75,732662708,158636364,8059289792
Stanley Kubrick,6,7.72,48342532,16126667,725137980
Frank Capra,5,7.65,7454416,2025407,81998574
Denis Villeneuve,3,7.58,73438241,28036364,807820655
Quentin Tarantino,10,7.54,156614453,39607407,4228590242
Martin Scorsese,17,7.49,149356310,61717647,5078114547
Frank Darabont,4,7.49,115640662,42800000,1156406624
Dean DeBlois,3,7.48,493816365,140833333,5925796378
David Lean,4,7.48,61309199,9692308,797019588
Milou0161 Forman,3,7.47,58171950,43285714,407203652
Richard Brooks,3,7.46,14311150,3200000,71555750
